Element_Name,Abbreviation,Category,Sequence/Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Fourteenstep (w/ KP),FO1SqB,PATTERN DANCE,1st Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Fourteenstep (w/ KP),FO1Sq1,PATTERN DANCE,1st Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO1Sq2,PATTERN DANCE,1st Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO1Sq3,PATTERN DANCE,1st Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO1Sq4,PATTERN DANCE,1st Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO2SqB,PATTERN DANCE,2nd Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Fourteenstep (w/ KP),FO2Sq1,PATTERN DANCE,2nd Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO2Sq2,PATTERN DANCE,2nd Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO2Sq3,PATTERN DANCE,2nd Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO2Sq4,PATTERN DANCE,2nd Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO3SqB,PATTERN DANCE,3rd Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Fourteenstep (w/ KP),FO3Sq1,PATTERN DANCE,3rd Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO3Sq2,PATTERN DANCE,3rd Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO3Sq3,PATTERN DANCE,3rd Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO3Sq4,PATTERN DANCE,3rd Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO4SqB,PATTERN DANCE,4th Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Fourteenstep (w/ KP),FO4Sq1,PATTERN DANCE,4th Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO4Sq2,PATTERN DANCE,4th Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO4Sq3,PATTERN DANCE,4th Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Fourteenstep (w/ KP),FO4Sq4,PATTERN DANCE,4th Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT1SqB,PATTERN DANCE,1st Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Foxtrot (w/ KP),FT1Sq1,PATTERN DANCE,1st Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT1Sq2,PATTERN DANCE,1st Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT1Sq3,PATTERN DANCE,1st Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT1Sq4,PATTERN DANCE,1st Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT2SqB,PATTERN DANCE,2nd Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Foxtrot (w/ KP),FT2Sq1,PATTERN DANCE,2nd Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT2Sq2,PATTERN DANCE,2nd Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT2Sq3,PATTERN DANCE,2nd Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT2Sq4,PATTERN DANCE,2nd Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT3SqB,PATTERN DANCE,3rd Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Foxtrot (w/ KP),FT3Sq1,PATTERN DANCE,3rd Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT3Sq2,PATTERN DANCE,3rd Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT3Sq3,PATTERN DANCE,3rd Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT3Sq4,PATTERN DANCE,3rd Sequence 4,5.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT4SqB,PATTERN DANCE,4th Sequence B,2.50,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Foxtrot (w/ KP),FT4Sq1,PATTERN DANCE,4th Sequence 1,3.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT4Sq2,PATTERN DANCE,4th Sequence 2,4.00,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Foxtrot (w/ KP),FT4Sq3,PATTERN DANCE,4th Sequence 3,4.50,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
