Element_Name,Abbreviation,Category,Sequence/Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Willow Waltz,WiW1SqB,Basic Novice,1st Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Willow Waltz,WiW1Sg1,Basic Novice,1st Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Willow Waltz,WiW2SqB,Basic Novice,2nd Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Willow Waltz,WiW2Sq1,Basic Novice,2nd Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Tango Canasta,TC1SQB,Basic Novice,1st Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Tango Canasta,TC1Sq1,Basic Novice,1st Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Tango Canasta,TC2SqB,Basic Novice,2nd Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Tango Canasta,TC2Sq1,Basic Novice,2nd Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW1SgB,Intermediate Novice,1st Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
European Waltz (w/ KP),EW1Sq1,Intermediate Novice,1st Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW1Sq2,Intermediate Novice,1st Sequence 2,8,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW1Sq3,Intermediate Novice,1st Sequence 3,9,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW1Sg4,Intermediate Novice,1st Sequence 4,10,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW2SqB,Intermediate Novice,2nd Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
European Waltz (w/ KP),EW2Sq1,Intermediate Novice,2nd Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW2Sq2,Intermediate Novice,2nd Sequence 2,8,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW2Sq3,Intermediate Novice,2nd Sequence 3,9,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
European Waltz (w/ KP),EW2Sq4,Intermediate Novice,2nd Sequence 4,10,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Tango (w/ KP),TA1SqB,Intermediate Novice,1st Sequence B,2.5,-1.88,-1.5,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.5,1.88
Tango (w/ KP),TA1Sq1,Intermediate Novice,1st Sequence 1,3.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA1Sq2,Intermediate Novice,1st Sequence 2,4,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA1Sq3,Intermediate Novice,1st Sequence 3,4.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA1Sg4,Intermediate Novice,1st Sequence 4,5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA2SqB,Intermediate Novice,2nd Sequence B,2.5,-1.88,-1.5,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.5,1.88
Tango (w/ KP),TA2Sq1,Intermediate Novice,2nd Sequence 1,3.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA2S02,Intermediate Novice,2nd Sequence 2,4,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA2Sq3,Intermediate Novice,2nd Sequence 3,4.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Tango (w/ KP),TA2Sq4,Intermediate Novice,2nd Sequence 4,5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Starlight Waltz (w/ KP),SW1SqB,Advanced Novice,1st Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Starlight Waltz (w/ KP),SW1Sq1,Advanced Novice,1st Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW1Sa2,Advanced Novice,1st Sequence 2,8,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW1Sq3,Advanced Novice,1st Sequence 3,9,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW1Sq4,Advanced Novice,1st Sequence 4,10,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW2SqB,Advanced Novice,2nd Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Starlight Waltz (w/ KP),SW2Sq1,Advanced Novice,2nd Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW2Sq2,Advanced Novice,2nd Sequence 2,8,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW2Sq3,Advanced Novice,2nd Sequence 3,9,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Starlight Waltz (w/ KP),SW2Sq4,Advanced Novice,2nd Sequence 4,10,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS1SqB,Advanced Novice,1st Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Quickstep (w/ KP),QS1Sq1,Advanced Novice,1st Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS1Sq2,Advanced Novice,1st Sequence 2,8,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS1Sq3,Advanced Novice,1st Sequence 3,9,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS1Sq4,Advanced Novice,1st Sequence 4,10,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS2SqB,Advanced Novice,2nd Sequence B,5,-3.75,-3,-2.25,-1.5,-0.75,0.75,1.5,2.25,3,3.75
Quickstep (w/ KP),QS2Sq1,Advanced Novice,2nd Sequence 1,7,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS2Sq2,Advanced Novice,2nd Sequence 2,8,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS2Sq3,Advanced Novice,2nd Sequence 3,9,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Quickstep (w/ KP),QS2Sq4,Advanced Novice,2nd Sequence 4,10,-5.25,-4.2,-3.15,-2.1,-1.05,1.05,2.1,3.15,4.2,5.25
Rhumba Sequence (Junior),1RHB,Required Element,Base,2.5,-1.88,-1.5,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.5,1.88
Rhumba Sequence (Junior),1RH1,Required Element,Level 1,3.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Rhumba Sequence (Junior),1RH2,Required Element,Level 2,4,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Rhumba Sequence (Junior),1RH3,Required Element,Level 3,4.75,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Rhumba Sequence (Junior),1RH4,Required Element,Level 4,5.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Quickstep Sequence (Junior),1QSB,Required Element,Base,2.5,-1.88,-1.5,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.5,1.88
Quickstep Sequence (Junior),1QS1,Required Element,Level 1,3.5,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
Quickstep Sequence (Junior),1QS2,Required Element,Level 2,4,-2.63,-2.1,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.1,2.63
