Element_Name,Abbreviation,Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
Artistic Block,AB,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Artistic Block,AB,1,2.50,-1.25,-1.00,-0.75,-0.50,-0.25,0.25,0.50,0.75,1.00,1.25
Artistic Block,AB,2,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Artistic Circle,AC,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Artistic Circle,AC,1,2.50,-1.25,-1.00,-0.75,-0.50,-0.25,0.25,0.50,0.75,1.00,1.25
Artistic Circle,AC,2,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Artistic Line,AL,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Artistic Line,AL,1,2.50,-1.25,-1.00,-0.75,-0.50,-0.25,0.25,0.50,0.75,1.00,1.25
Artistic Line,AL,2,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Artistic Wheel,AW,B,1.00,-0.50,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Artistic Wheel,AW,1,2.50,-1.25,-1.00,-0.75,-0.50,-0.25,0.25,0.50,0.75,1.00,1.25
Artistic Wheel,AW,2,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Creative Intersection,Crl,1,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Creative Lift,CrL,1,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Group Lift Element,GL,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Group Lift Element,GL,1,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Group Lift Element,GL,1<,3.75,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Group Lift Element,GL,1<<,3.25,-1.63,-1.30,-0.98,-0.65,-0.33,0.33,0.65,0.98,1.30,1.63
Group Lift Element,GL,2,5.00,-2.50,-2.00,-1.50,-1.00,-0.50,0.50,1.00,1.50,2.00,2.50
Group Lift Element,GL,2<,4.75,-2.38,-1.90,-1.43,-0.95,-0.48,0.48,0.95,1.43,1.90,2.38
Group Lift Element,GL,2<<,4.25,-2.13,-1.70,-1.28,-0.85,-0.43,0.43,0.85,1.28,1.70,2.13
Group Lift Element,GL,3,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
Group Lift Element,GL,3<,6.75,-3.38,-2.70,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.70,3.38
Group Lift Element,GL,3<<,6.25,-3.13,-2.50,-1.88,-1.25,-0.63,0.63,1.25,1.88,2.50,3.13
Group Lift Element,GL,4,8.00,-4.00,-3.20,-2.40,-1.60,-0.80,0.80,1.60,2.40,3.20,4.00
Group Lift Element,GL,4<,7.75,-3.88,-3.10,-2.33,-1.55,-0.78,0.78,1.55,2.33,3.10,3.88
Group Lift Element,GL,4<<,7.25,-3.63,-2.90,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.90,3.63
Intersection,I,B,0.25,-0.13,-0.10,-0.08,-0.05,-0.03,0.03,0.05,0.08,0.10,0.13
Intersection,I,B piB,0.50,-0.25,-0.20,-0.15,-0.10,-0.05,0.05,0.10,0.15,0.20,0.25
Intersection,I,1,0.75,-0.38,-0.30,-0.23,-0.15,-0.08,0.08,0.15,0.23,0.30,0.38
Intersection,I,B pi1,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Intersection,I,1 piB,1.25,-0.63,-0.50,-0.38,-0.25,-0.13,0.13,0.25,0.38,0.50,0.63
Intersection,I,1 pi1,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Intersection,I,B pi2,1.75,-0.88,-0.70,-0.53,-0.35,-0.18,0.18,0.35,0.53,0.70,0.88
Intersection,I,2,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
Intersection,I,1 pi2,2.25,-1.13,-0.90,-0.68,-0.45,-0.23,0.23,0.45,0.68,0.90,1.13
Intersection,I,B pi3,2.50,-1.25,-1.00,-0.75,-0.50,-0.25,0.25,0.50,0.75,1.00,1.25
Intersection,I,2 piB,2.75,-1.38,-1.10,-0.83,-0.55,-0.28,0.28,0.55,0.83,1.10,1.38
Intersection,I,3,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Intersection,I,2 pi1,3.25,-1.63,-1.30,-0.98,-0.65,-0.33,0.33,0.65,0.98,1.30,1.63
Intersection,I,1 pi3,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
Intersection,I,3 piB,3.75,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Intersection,I,4,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Intersection,I,4 piB,4.25,-2.13,-1.70,-1.28,-0.85,-0.43,0.43,0.85,1.28,1.70,2.13
Intersection,I,B pi4,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Intersection,I,2 pi2,4.75,-2.38,-1.90,-1.43,-0.95,-0.48,0.48,0.95,1.43,1.90,2.38
Intersection,I,3 pi1,5.00,-2.50,-2.00,-1.50,-1.00,-0.50,0.50,1.00,1.50,2.00,2.50
Intersection,I,4 pi1,5.25,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Intersection,I,1 pi4,5.50,-2.75,-2.20,-1.65,-1.10,-0.55,0.55,1.10,1.65,2.20,2.75
Intersection,I,2 pi3,5.75,-2.88,-2.30,-1.73,-1.15,-0.58,0.58,1.15,1.73,2.30,2.88
Intersection,I,3 pi2,6.00,-3.00,-2.40,-1.80,-1.20,-0.60,0.60,1.20,1.80,2.40,3.00
Intersection,I,4 pi2,6.25,-3.13,-2.50,-1.88,-1.25,-0.63,0.63,1.25,1.88,2.50,3.13
Intersection,I,2 pi4,6.50,-3.25,-2.60,-1.95,-1.30,-0.65,0.65,1.30,1.95,2.60,3.25
Intersection,I,3 pi3,6.75,-3.38,-2.70,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.70,3.38
Intersection,I,4 pi3,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
Intersection,I,3 pi4,7.25,-3.63,-2.90,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.90,3.63
Intersection,I,4 pi4,7.50,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
Linear Block,B,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Linear Block,B,1,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Linear Block,B,2,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
Linear Block,B,3,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Linear Block,B,4,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Linear Line,L,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Linear Line,L,1,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Linear Line,L,2,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
Linear Line,L,3,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Linear Line,L,4,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Rotating Circle,C,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Rotating Circle,C,1,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Rotating Circle,C,2,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
Rotating Circle,C,3,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Rotating Circle,C,4,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Rotating Wheel,W,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Rotating Wheel,W,1,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Rotating Wheel,W,2,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
Rotating Wheel,W,3,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Rotating Wheel,W,4,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Mixed Element,Mi,1,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Move Element,ME,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Move Element,ME,1,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Move Element,ME,1<,2.75,-1.38,-1.10,-0.83,-0.55,-0.28,0.28,0.55,0.83,1.10,1.38
Move Element,ME,1<<,2.25,-1.13,-0.90,-0.68,-0.45,-0.23,0.23,0.45,0.68,0.90,1.13
Move Element,ME,2,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Move Element,ME,2<,4.25,-2.13,-1.70,-1.28,-0.85,-0.43,0.43,0.85,1.28,1.70,2.13
Move Element,ME,2<<,3.75,-1.88,-1.50,-1.13,-0.75,-0.38,0.38,0.75,1.13,1.50,1.88
Move Element,ME,3,6.00,-3.00,-2.40,-1.80,-1.20,-0.60,0.60,1.20,1.80,2.40,3.00
Move Element,ME,3<,5.75,-2.88,-2.30,-1.73,-1.15,-0.58,0.58,1.15,1.73,2.30,2.88
Move Element,ME,3<<,5.25,-2.63,-2.10,-1.58,-1.05,-0.53,0.53,1.05,1.58,2.10,2.63
Move Element,ME,4,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
Move Element,ME,4<,6.75,-3.38,-2.70,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.70,3.38
Move Element,ME,4<<,6.25,-3.13,-2.50,-1.88,-1.25,-0.63,0.63,1.25,1.88,2.50,3.13
No Hold Element,NHE,B,0.25,-0.13,-0.10,-0.08,-0.05,-0.03,0.03,0.05,0.08,0.10,0.13
No Hold Element,NHE,B sB,0.50,-0.25,-0.20,-0.15,-0.10,-0.05,0.05,0.10,0.15,0.20,0.25
No Hold Element,NHE,1,0.50,-0.25,-0.20,-0.15,-0.10,-0.05,0.05,0.10,0.15,0.20,0.25
No Hold Element,NHE,B s1,0.75,-0.38,-0.30,-0.23,-0.15,-0.08,0.08,0.15,0.23,0.30,0.38
No Hold Element,NHE,1 sB,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
No Hold Element,NHE,2,1.25,-0.63,-0.50,-0.38,-0.25,-0.13,0.13,0.25,0.38,0.50,0.63
